question,ground_truth,question_type,difficulty,expected_strategy,source_node_ids,metadata
有哪些菜同时用到蒜和酱油？,蒜和酱油常常一起出现在这些菜中：清蒸生蚝、白灼虾、尖椒炒牛肉、青椒土豆炒肉、酸辣蕨根粉、凉拌油麦菜、凉拌黄瓜、茄子炖土豆。,multi_hop,hard,graph_rag,201000059;201000272;201001630;201003355;201004316;201004827;201004885;201005092,"{""generated_by"": ""graph_based"", ""ingredient_pair"": [""蒜"", ""酱油""], ""recipe_count"": 8}"
酱排骨需要哪些主要食材？,制作酱排骨需要以下主要食材：排骨、食用油、生抽、老抽、小米椒、蒜、白砂糖、蚝油、姜、料酒、五香粉。,entity_relation,medium,hybrid_traditional,201003296,"{""generated_by"": ""graph_based"", ""ingredient_count"": 11}"
制作西红柿豆腐汤羹需要准备什么食材？,制作西红柿豆腐汤羹需要以下主要食材：香葱、豆腐、鸡精、淀粉、开水、姜、盐、西红柿、食用油、鸡蛋。,entity_relation,medium,hybrid_traditional,201005653,"{""generated_by"": ""graph_based"", ""ingredient_count"": 10}"
简易版炒糖色需要哪些主要食材？,制作简易版炒糖色需要以下主要食材：冰糖、开水、油。,entity_relation,medium,hybrid_traditional,201000794,"{""generated_by"": ""graph_based"", ""ingredient_count"": 3}"
榄菜肉末四季豆这道菜的分类是什么？,榄菜肉末四季豆的分类是素菜。,simple_fact,easy,hybrid_traditional,201005449,"{""generated_by"": ""graph_based"", ""category"": ""素菜""}"
蔗糖糖浆和糖醋汁在烹饪时间和难度上有什么不同？,蔗糖糖浆的烹饪时间为0分钟，难度为1.0；而糖醋汁的烹饪时间为5-10分钟，难度为2.0。因此，糖醋汁需要更长的烹饪时间和更高的难度，而蔗糖糖浆则无需烹饪且难度较低。,comparison,hard,combined,201000877;201000805,"{""generated_by"": ""graph_based"", ""category"": ""调料""}"
为什么奶酪培根通心粉要分四次加入牛奶，而不是一次性加入？,分次加入牛奶并每次搅拌5秒，是为了让面粉充分吸收液体，避免结块，从而形成顺滑的奶酪酱。如果一次性加入，面粉容易结块，导致酱汁不均匀，影响口感。,causal,hard,hybrid_traditional,201002391,"{""generated_by"": ""graph_based"", ""step_count"": 14}"
香干芹菜炒肉的烹饪时间是多久？,香干芹菜炒肉的烹饪时间是约8-10分钟（炒制）。,attribute_query,easy,hybrid_traditional,201003372,"{""generated_by"": ""graph_based"", ""attribute"": ""cook_time""}"
咖啡椰奶冻和芋泥雪媚娘在烹饪时间上有什么不同？,咖啡椰奶冻的烹饪时间仅为1分钟，非常快捷；而芋泥雪媚娘需要约90分钟，包括煮芋头40分钟、蒸糯米团30分钟和冷藏1小时，耗时较长。,comparison,hard,combined,201000894;201001048,"{""generated_by"": ""graph_based"", ""category"": ""甜品""}"
猪肉烩酸菜的烹饪时间是多久？,猪肉烩酸菜的烹饪时间是1.5-2小时。,attribute_query,easy,hybrid_traditional,201001808,"{""generated_by"": ""graph_based"", ""attribute"": ""cook_time""}"
微波炉腊肠煲仔饭这道菜的分类是什么？,微波炉腊肠煲仔饭的分类是主食。,simple_fact,easy,hybrid_traditional,201004446,"{""generated_by"": ""graph_based"", ""category"": ""主食""}"
速冻水饺属于什么分类？,速冻水饺属于半成品。,simple_fact,easy,hybrid_traditional,201003618,"{""generated_by"": ""graph_based"", ""category"": ""半成品""}"
糖醋汁这道菜的分类是什么？,糖醋汁的分类是调料。,simple_fact,easy,hybrid_traditional,201000805,"{""generated_by"": ""graph_based"", ""category"": ""调料""}"
盐和香醋常常一起出现在哪些菜里？,盐和香醋常常一起出现在这些菜中：凉拌鸡丝、宫保鸡丁、老妈蹄花、凉皮、酸辣蕨根粉、油醋爆蛋、手撕包菜、虎皮青椒。,multi_hop,hard,graph_rag,201002203;201002454;201003048;201003534;201004316;201004956;201005401;201005609,"{""generated_by"": ""graph_based"", ""ingredient_pair"": [""盐"", ""香醋""], ""recipe_count"": 8}"
白糖和醋常常一起出现在哪些菜里？,白糖和醋常常一起出现在这些菜中：糖醋里脊、鱼香肉丝、口水鸡、凉粉、凉拌油麦菜、凉拌豆腐、凉拌金针菇、凉拌木耳。,multi_hop,hard,graph_rag,201001916;201002073;201002255;201004407;201004827;201004841;201004863;201005312,"{""generated_by"": ""graph_based"", ""ingredient_pair"": [""白糖"", ""醋""], ""recipe_count"": 8}"
黄焖鸡的准备时间是多久？,黄焖鸡的准备时间是约20分钟（含泡干香菇、切配）。,attribute_query,easy,hybrid_traditional,201002122,"{""generated_by"": ""graph_based"", ""attribute"": ""prep_time""}"
酸辣土豆丝的烹饪时间是多久？,酸辣土豆丝的烹饪时间是5分钟。,attribute_query,easy,hybrid_traditional,201005195,"{""generated_by"": ""graph_based"", ""attribute"": ""cook_time""}"
请问蒸花卷的原料有哪些？,制作蒸花卷需要以下主要食材：冷冻花卷、水。,entity_relation,medium,hybrid_traditional,201000696,"{""generated_by"": ""graph_based"", ""ingredient_count"": 2}"
制作耙耙柑茶需要准备什么食材？,制作耙耙柑茶需要以下主要食材：茉莉绿茶、耙耙柑、蔗糖糖浆、冰块。,entity_relation,medium,hybrid_traditional,201001343,"{""generated_by"": ""graph_based"", ""ingredient_count"": 4}"
为什么粉蒸肉要腌制后再裹蒸肉米粉？,腌制时加入生抽、老抽、料酒、豆瓣酱等调味料，能让五花肉充分入味并去腥；同时，腌制后肉表面湿润，更容易粘附蒸肉米粉，确保每片肉均匀裹粉，蒸制后口感更佳。,causal,hard,hybrid_traditional,201001891,"{""generated_by"": ""graph_based"", ""step_count"": 13}"
制作小炒黄牛肉需要准备什么食材？,制作小炒黄牛肉需要以下主要食材：食用油、酱油、牛里脊、小米椒、香菜、芹菜、野山椒。,entity_relation,medium,hybrid_traditional,201002511,"{""generated_by"": ""graph_based"", ""ingredient_count"": 7}"
大葱和姜常常一起出现在哪些菜里？,大葱和姜常常一起出现在这些菜中：红烧鱼头、红烧鲤鱼、糖醋鲤鱼、猪肉烩酸菜、萝卜炖羊排、小炒鸡肝、无骨鸡爪、老式锅包肉。,multi_hop,hard,graph_rag,201000100;201000127;201000290;201001808;201001944;201002486;201002673;201003076,"{""generated_by"": ""graph_based"", ""ingredient_pair"": [""大葱"", ""姜""], ""recipe_count"": 8}"
如何制作炒滑蛋？请分步骤说明。,"炒滑蛋的制作步骤如下：
第1步（步骤1）：鸡蛋加入牛奶以及5ml食用油搅拌均匀，备用
第2步（步骤2）：大火烧热平底锅约30秒，加入5ml食用油
第3步（步骤3）：烧30秒后转小火，并且放入搅拌好的鸡蛋
第4步（步骤4）：在锅中静置5秒后，用锅铲将蛋液从边缘缓慢推向中间
第5步（步骤5）：翻炒至鸡蛋大致凝固后关火，装盘",step_by_step,medium,hybrid_traditional,201005481,"{""generated_by"": ""graph_based"", ""step_count"": 5}"
有哪些菜同时用到大葱和生抽？,大葱和生抽常常一起出现在这些菜中：红烧鱼头、烤鱼、乡村啤酒鸭、新疆大盘鸡、无骨鸡爪、清蒸鳜鱼、蒸卤面、小炒藕丁。,multi_hop,hard,graph_rag,201000100;201000223;201001428;201002647;201002673;201002821;201004232;201005366,"{""generated_by"": ""graph_based"", ""ingredient_pair"": [""大葱"", ""生抽""], ""recipe_count"": 8}"
食用油和香葱常常一起出现在哪些菜里？,食用油和香葱常常一起出现在这些菜中：清蒸鲈鱼、血浆鸭、勾芡香菇汤、昂刺鱼豆腐汤、玉米排骨汤、红烧冬瓜、蚝油三鲜菇、西红柿豆腐汤羹。,multi_hop,hard,graph_rag,201000257;201003174;201003888;201003916;201003939;201005538;201005626;201005653,"{""generated_by"": ""graph_based"", ""ingredient_pair"": [""食用油"", ""香葱""], ""recipe_count"": 8}"
为什么凉拌金针菇的金针菇要先煮1-2分钟，而不是直接凉拌？,因为金针菇含有少量秋水仙碱，生食可能引起不适，且生金针菇口感较韧、不易消化。通过短时间焯水（煮1-2分钟）可以去除有害物质，同时使金针菇变软，更易吸收调味汁，提升口感和安全性。,causal,hard,hybrid_traditional,201004863,"{""generated_by"": ""graph_based"", ""step_count"": 13}"
陈皮排骨汤的制作步骤是什么？,"陈皮排骨汤的制作步骤如下：
第1步（步骤1）：排骨用热水过一遍，去血水
第2步（步骤2）：陈皮、麦冬、玉竹、石斛和西洋参冲洗干净
第3步（步骤3）：煲汤盅洗干净
第4步（步骤4）：打开煲汤盅，先放入排骨在底部，然后依次放入陈皮、麦冬、玉竹、石斛和西洋参
第5步（步骤5）：加入热水进煲汤盅，水不宜太满
第6步（步骤6）：煲汤容器加入水，炖煮1.5小时
第7步（步骤7）：加入食盐，趁热饮用",step_by_step,medium,hybrid_traditional,201003873,"{""generated_by"": ""graph_based"", ""step_count"": 7}"
